brand,brand-sub-name,color,color-type,simplified-color,material,weight,oz,yds,stock,skeins,link,image,projects,hex-color
"Loops & Threads","Soft Classic","Navy","Solid",["Blue"],"Acrylic",4,7,354,"TRUE",1,"https://www.michaels.com/product/soft-classic-solid-yarn-by-loops-threads-10228177","yarn-images/LT_Navy.jpeg","","#242539"
"Loops & Threads","Soft Classic","Sage","Solid","Green","Acrylic",4,7,354,"TRUE",1,"https://www.michaels.com/product/soft-classic-solid-yarn-by-loops-threads-10228177","yarn-images/LT_Sage.jpeg","","#C6CAB1"
"Loops & Threads","Soft Classic","Light Blue","Solid","Blue","Acrylic",4,7,354,"FALSE",0,"http://michaels.com/product/soft-classic-solid-yarn-by-loops-threads-10228177","yarn-images/LT_Light_Blue.jpeg","","#C1D7EE"
"Loops & Threads","Soft Classic","Leaf Green","Solid","Green","Acrylic",4,7,354,"TRUE",1,"https://www.michaels.com/product/soft-classic-solid-yarn-by-loops-threads-10228177","yarn-images/LT_Leaf_Green.jpeg","","#6E6635"
"Loops & Threads","Soft Classic","Mushroom","Solid","White","Acrylic",4,7,354,"TRUE",1,"https://www.michaels.com/product/soft-classic-solid-yarn-by-loops-threads-10228177","yarn-images/LT_Mushroom.jpeg","","#E6E3DA"
"Loops & Threads","Soft Classic","Mustard","Solid","Yellow","Acrylic",4,7,354,"FALSE",0,"https://www.michaels.com/product/soft-classic-solid-yarn-by-loops-threads-10228177","yarn-images/LT_Mustard.jpeg","","#EBB650"
"Loops & Threads","Soft Classic","Dark Taupe","Solid","Brown","Acrylic",4,7,354,"TRUE",1,"https://www.michaels.com/product/soft-classic-solid-yarn-by-loops-threads-10228177","yarn-images/LT_Dark_Taupe.jpeg","","#8A665A"
"Loops & Threads","Impeccable","Soft Taupe","Solid","Brown","Acrylic",4,4.5,277,"TRUE",1,"https://www.michaels.com/product/impeccable-solid-yarn-by-loops-threads-10108920?michaelsStore=1276&inv=21","yarn-images/LT_Soft_Taupe.jpeg","","#CA9470"
"Loops & Threads","Impeccable","Brown Tweed","Tweed","Gray","Acrylic",4,3,190,"TRUE",2,"N/A","https://imgs.michaels.com/MAM/assets/1/5E3C12034D34434F8A9BAAFDDF0F8E1B/img/02099E846CB2476784F5A2068107B1DF/10697207_1.jpg?fit=inside|1280:1280","","#937755"
"Loops & Threads","Impeccable","Fern","Mouline","Green","Acrylic",4,3,180,"TRUE",1,"https://www.michaels.com/product/impeccable-mouline-yarn-by-loops-threads-10735468?cm_mmc=PLASearch-_-google-_-MICH_Shopping_US_N_Knitting+%26+Crochet_N_PMAX_BOPIS_N-_-&Kenshoo_ida=&kpid=go_cmp-18514200212_adg-_ad-__dev-c_ext-_prd-10735468&gad_source=1&gclid=Cj0KCQjw4v6-BhDuARIsALprm32kQHslaMEKvfwLaGh7oTh5_YdNbhw5YkEOhya7TEJj4M0EU5L6TNMaAsOiEALw_wcB","yarn-images/LT_Fern.jpeg","","#687154"
